0,-6.930654806501858
0.033,-10.054979247198759
0.066,-18.441808866768834
0.099,-31.261676999540192
0.132,-40.800543654765434
0.165,-56.91062956136822
0.198,-72.2004650985843
0.231,-93.40716285092574
0.264,-109.3513554243939
0.297,-131.8759835455249
0.33,-156.53879240483204
0.363,-184.1508160754164
0.396,-211.93794937542043
0.429,-242.02915674673486
0.462,-273.5857552274028
0.495,-307.1238574093978
0.528,-344.1180706983582
0.561,-381.26896102416794
0.594,-420.39213875501935
0.627,-430.58536244649684
