0.000	-6.9306548065018580
0.033	-10.054979247198759
0.066	-18.441808866768834
0.099	-31.261676999540192
0.132	-40.800543654765434
0.165	-56.910629561368220
0.198	-72.200465098584300
0.231	-93.407162850925740
0.264	-109.35135542439390
0.297	-131.87598354552490
0.330	-156.53879240483204
0.363	-184.15081607541640
0.396	-211.93794937542043
0.429	-242.02915674673486
0.462	-273.58575522740280
0.495	-307.12385740939780
0.528	-344.11807069835820
0.561	-381.26896102416794
0.594	-420.39213875501935
0.627	-430.58536244649684
